,date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),First dep NB or WB,First dep SB or EB,Last dep NB or WB,Last dep SB or EB,Route,Interruption,time period start,time period end
23,2023-02-06,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-06 04:00:00,2023-02-06 09:00:00
23,2023-02-06,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-06 09:00:00,2023-02-06 15:00:00
23,2023-02-06,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-06 15:00:00,2023-02-06 19:00:00
23,2023-02-06,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-06 19:00:00,2023-02-06 22:00:00
23,2023-02-06,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-06 22:00:00,2023-02-07 04:00:00
24,2023-02-07,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-07 04:00:00,2023-02-07 09:00:00
24,2023-02-07,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-07 09:00:00,2023-02-07 15:00:00
24,2023-02-07,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-07 15:00:00,2023-02-07 19:00:00
24,2023-02-07,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-07 19:00:00,2023-02-07 22:00:00
24,2023-02-07,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-07 22:00:00,2023-02-08 04:00:00
25,2023-02-08,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-08 04:00:00,2023-02-08 09:00:00
25,2023-02-08,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-08 09:00:00,2023-02-08 15:00:00
25,2023-02-08,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-08 15:00:00,2023-02-08 19:00:00
25,2023-02-08,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-08 19:00:00,2023-02-08 22:00:00
25,2023-02-08,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-08 22:00:00,2023-02-09 04:00:00
26,2023-02-09,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-09 04:00:00,2023-02-09 09:00:00
26,2023-02-09,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-09 09:00:00,2023-02-09 15:00:00
26,2023-02-09,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-09 15:00:00,2023-02-09 19:00:00
26,2023-02-09,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-09 19:00:00,2023-02-09 22:00:00
26,2023-02-09,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-09 22:00:00,2023-02-10 04:00:00
27,2023-02-10,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-10 04:00:00,2023-02-10 09:00:00
27,2023-02-10,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-10 09:00:00,2023-02-10 15:00:00
27,2023-02-10,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-10 15:00:00,2023-02-10 19:00:00
27,2023-02-10,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-10 19:00:00,2023-02-10 22:00:00
27,2023-02-10,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-10 22:00:00,2023-02-11 04:00:00
28,2023-02-11,12,10:00,106,14,18.4,0,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-11 04:00:00,2023-02-11 08:00:00
28,2023-02-11,16,09:30,138,14,14.2,1,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-11 08:00:00,2023-02-11 12:00:00
28,2023-02-11,20,08:30,156,14,12.5,2,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-11 12:00:00,2023-02-11 19:00:00
28,2023-02-11,15,10:00,134,16,14.6,3,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-11 19:00:00,2023-02-11 22:00:00
28,2023-02-11,14,10:00,130,10,15.0,4,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-11 22:00:00,2023-02-12 04:00:00
29,2023-02-12,11,10:00,102,8,19.2,0,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-12 04:00:00,2023-02-12 08:00:00
29,2023-02-12,14,10:00,130,10,15.0,1,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-12 08:00:00,2023-02-12 12:00:00
