date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Ontario St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Logan Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Lansdowne Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Gerrard St East at Beaton Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Carlaw Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,University Ave (Queen's Park Station,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Euclid Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Parkside Dr East Side,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Pape Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Main St at Danforth Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Main St at Gerrard St East,1,5,5,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Bowmore Rd,1,6,5,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Gerrard St East  at Coxwell Ave,2,6,4,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Howard Park Ave at Roncesvalles Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Main Street Station at Bay 7,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,High Park Loop,0,0,0,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Indian Rd,0,1,3,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Kingsmount Park Rd,3,2,5,0
